#,Name,Date of birth,From,Died in the area of,Rank,Military Unit,Sources
4403,Roman Zinchenko Vasyl'ovych,"April 15, 1992",Odesa Oblast,Chernivtsi Oblast,Private,Unknown,"https://example2.com, https://example8.com, https://example2.com, https://example8.com"
4404,Dmytro Kravchenko Mykhailovych,"June 26, 1968",Kyiv Oblast,Lviv Oblast,Senior soldier,Infantry,"https://example8.com, https://example2.com, https://example9.com, https://example8.com"
4405,Ihor Lysenko Romanovych,"November 18, 1971","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Private,Battalion 2,"https://example1.com, https://example1.com, https://example4.com"
4406,Oleh Bibikov Oleksandrovych,"January 06, 1974",Zhytomyr Oblast,Kharkiv Oblast,Captain,Battalion 2,"https://example10.com, https://example1.com, https://example10.com, https://example4.com, https://example7.com, https://example2.com, https://example9.com, https://example6.com"
4407,Ihor Lysenko Mykhailovych,"June 04, 1988",Kharkiv Oblast,Chernivtsi Oblast,Major,Battalion 2,"https://example10.com, https://example10.com, https://example3.com, https://example4.com"
4408,Oleh Tkachuk Oleksandrovych,"April 04, 1985",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Unknown,"https://example7.com, https://example4.com, https://example10.com, https://example6.com, https://example6.com, https://example3.com, https://example5.com, https://example1.com"
4409,Mykola Sakalo Ivanovych,"November 05, 1996",Kharkiv Oblast,Lviv Oblast,Colonel,Special Forces,"https://example7.com, https://example7.com, https://example9.com, https://example5.com, https://example9.com, https://example6.com"
4410,Volodymyr Kovalenko Mykolayovych,"February 03, 1978",Odesa Oblast,Lviv Oblast,Major,Special Forces,"https://example9.com, https://example7.com, https://example1.com, https://example1.com, https://example4.com, https://example2.com, https://example10.com, https://example7.com"
4411,Roman Kravchenko Yuriyovych,"October 10, 1984",Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Battalion 1,"https://example9.com, https://example2.com, https://example7.com, https://example5.com, https://example5.com"
4412,Andrij Bibikov Petrovych,"January 09, 1978",Donetsk Oblast,Lviv Oblast,Captain,Infantry,"https://example7.com, https://example6.com, https://example8.com, https://example1.com"
4413,Volodymyr Tkachuk Ivanovych,"June 26, 1988",Lviv Oblast,Chernivtsi Oblast,Colonel,Battalion 1,"https://example8.com, https://example4.com, https://example3.com, https://example2.com, https://example7.com, https://example2.com"
4414,Oleksandr Zinchenko Romanovych,"June 30, 1985",Odesa Oblast,Kyiv Oblast,Private,Battalion 2,"https://example10.com, https://example10.com, https://example1.com, https://example10.com, https://example9.com"
4415,Ihor Bondarenko Mykhailovych,"January 30, 1988",Kharkiv Oblast,Donetsk Oblast,Captain,Special Forces,"https://example3.com, https://example2.com, https://example4.com, https://example2.com, https://example9.com, https://example10.com"
4416,Mykola Shevchenko Mykolayovych,"July 24, 1983","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Captain,Special Forces,"https://example3.com, https://example1.com, https://example6.com, https://example3.com"
4417,Dmytro Lysenko Oleksandrovych,"November 19, 1962",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Infantry,"https://example10.com, https://example5.com, https://example8.com, https://example6.com"
4418,Yuriy Bibikov Vasyl'ovych,"February 09, 1968",Odesa Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Battalion 2,"https://example7.com, https://example2.com, https://example9.com, https://example5.com, https://example5.com, https://example10.com, https://example10.com, https://example2.com"
4419,Roman Kravchenko Serhiyovych,"April 12, 1973",Chernivtsi Oblast,Donetsk Oblast,Private,Battalion 2,"https://example2.com, https://example7.com, https://example7.com, https://example1.com, https://example4.com"
4420,Mykola Hrytsenko Ivanovych,"May 16, 1967",Kyiv Oblast,Kharkiv Oblast,Major,Battalion 1,"https://example1.com, https://example1.com, https://example3.com, https://example1.com, https://example2.com, https://example4.com, https://example9.com"
4421,Roman Shevchenko Petrovych,"June 12, 1981","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Captain,Battalion 1,"https://example9.com, https://example5.com, https://example2.com, https://example3.com, https://example10.com, https://example8.com"
4422,Serhiy Bibikov Serhiyovych,"May 30, 1988",Chernivtsi Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Special Forces,"https://example4.com, https://example3.com, https://example3.com, https://example8.com, https://example6.com"
4423,Serhiy Lysenko Yuriyovych,"December 30, 1990","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Private,Recon Squad,"https://example5.com, https://example9.com, https://example7.com, https://example5.com, https://example8.com, https://example5.com"
4424,Mykola Bondarenko Petrovych,"March 30, 1979","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Major,Unknown,"https://example3.com, https://example4.com, https://example1.com, https://example5.com"
4425,Yuriy Hrytsenko Yuriyovych,"December 12, 1982",Zhytomyr Oblast,Kharkiv Oblast,Sergeant,Special Forces,"https://example4.com, https://example6.com, https://example1.com, https://example8.com"
4426,Volodymyr Tkachuk Serhiyovych,"September 03, 1962","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Major,Recon Squad,"https://example5.com, https://example6.com, https://example2.com, https://example1.com, https://example3.com"
4427,Volodymyr Kravchenko Serhiyovych,"January 10, 1985",Lviv Oblast,Kyiv Oblast,Senior soldier,Battalion 1,"https://example4.com, https://example7.com, https://example3.com, https://example1.com, https://example5.com"
4428,Ihor Shevchenko Oleksandrovych,"September 02, 1989",Lviv Oblast,Kharkiv Oblast,Sergeant,Infantry,"https://example7.com, https://example2.com, https://example3.com, https://example1.com, https://example9.com, https://example1.com, https://example3.com"
4429,Yuriy Zinchenko Volodymyrovych,"February 16, 1975",Odesa Oblast,Donetsk Oblast,Lieutenant,Special Forces,"https://example6.com, https://example10.com, https://example2.com, https://example2.com, https://example8.com, https://example8.com, https://example7.com"
4430,Serhiy Hrytsenko Mykolayovych,"April 11, 1976",Kyiv Oblast,Zhytomyr Oblast,Lieutenant,Battalion 1,"https://example7.com, https://example3.com, https://example10.com"
4431,Serhiy Bondarenko Petrovych,"September 10, 1983","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Colonel,Infantry,"https://example4.com, https://example8.com, https://example2.com, https://example5.com, https://example10.com"
4432,Oleh Bondarenko Mykhailovych,"December 26, 1973","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Major,Battalion 1,"https://example3.com, https://example8.com, https://example2.com, https://example5.com, https://example3.com, https://example5.com, https://example8.com, https://example7.com"
4433,Mykola Bondarenko Oleksandrovych,"June 01, 1965","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Major,Infantry,"https://example3.com, https://example8.com, https://example10.com, https://example9.com, https://example2.com, https://example8.com"
4434,Andrij Tkachuk Mykhailovych,"September 06, 1968",Zhytomyr Oblast,Zhytomyr Oblast,Captain,Unknown,"https://example3.com, https://example8.com, https://example10.com, https://example8.com, https://example7.com, https://example9.com"
4435,Roman Hrytsenko Oleksandrovych,"July 28, 1973",Zhytomyr Oblast,Chernivtsi Oblast,Colonel,Battalion 1,"https://example8.com, https://example2.com, https://example10.com, https://example8.com, https://example7.com, https://example7.com, https://example9.com"
4436,Andrij Tkachuk Volodymyrovych,"October 20, 1998","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Colonel,Battalion 1,"https://example5.com, https://example5.com, https://example9.com, https://example2.com, https://example6.com, https://example4.com, https://example4.com, https://example9.com"
4437,Serhiy Bondarenko Vasyl'ovych,"July 10, 1965",Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Special Forces,"https://example3.com, https://example6.com, https://example4.com, https://example10.com, https://example4.com, https://example2.com, https://example7.com"
4438,Mykola Bondarenko Petrovych,"June 07, 1963",Kyiv Oblast,Zhytomyr Oblast,Sergeant,Recon Squad,"https://example5.com, https://example2.com, https://example1.com, https://example8.com, https://example10.com, https://example10.com"
4439,Oleksandr Lysenko Serhiyovych,"December 12, 1992","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Major,Battalion 1,"https://example3.com, https://example3.com, https://example3.com, https://example9.com, https://example9.com"
4440,Ihor Kovalenko Vasyl'ovych,"March 28, 1994",Lviv Oblast,Lviv Oblast,Private,Infantry,"https://example1.com, https://example1.com, https://example5.com, https://example9.com"
4441,Mykola Kravchenko Romanovych,"April 27, 1973",Odesa Oblast,Odesa Oblast,Major,Infantry,"https://example3.com, https://example9.com, https://example4.com, https://example8.com, https://example9.com, https://example1.com"
4442,Volodymyr Hrytsenko Volodymyrovych,"October 16, 1991","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Colonel,Recon Squad,"https://example6.com, https://example1.com, https://example8.com"
4443,Serhiy Hrytsenko Oleksandrovych,"February 24, 1984",Kharkiv Oblast,Odesa Oblast,Captain,Infantry,"https://example10.com, https://example3.com, https://example4.com, https://example10.com, https://example8.com, https://example8.com, https://example7.com, https://example1.com"
4444,Andrij Kovalenko Serhiyovych,"September 15, 1969",Kyiv Oblast,Lviv Oblast,Private,Special Forces,"https://example9.com, https://example2.com, https://example1.com"
4445,Serhiy Bondarenko Volodymyrovych,"April 14, 1972",Kharkiv Oblast,Donetsk Oblast,Private,Battalion 2,"https://example6.com, https://example4.com, https://example7.com"
4446,Yuriy Bondarenko Mykhailovych,"July 20, 1968",Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Infantry,"https://example6.com, https://example4.com, https://example4.com, https://example3.com, https://example1.com, https://example5.com, https://example3.com, https://example9.com"
4447,Oleksandr Sakalo Serhiyovych,"October 01, 1992",Zhytomyr Oblast,Chernivtsi Oblast,Lieutenant,Special Forces,"https://example5.com, https://example4.com, https://example3.com, https://example3.com, https://example1.com, https://example2.com, https://example2.com, https://example6.com"
4448,Yuriy Kravchenko Vasyl'ovych,"September 13, 1966",Kyiv Oblast,Odesa Oblast,Senior soldier,Special Forces,"https://example4.com, https://example7.com, https://example6.com, https://example9.com, https://example5.com"
4449,Roman Hrytsenko Oleksandrovych,"June 01, 1978",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Infantry,"https://example10.com, https://example4.com, https://example7.com"
4450,Dmytro Zinchenko Romanovych,"February 14, 1996",Lviv Oblast,Kyiv Oblast,Senior soldier,Infantry,"https://example5.com, https://example2.com, https://example6.com"
4451,Mykola Kravchenko Yuriyovych,"March 23, 1990",Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Recon Squad,"https://example1.com, https://example7.com, https://example8.com, https://example1.com"
4452,Volodymyr Shevchenko Ivanovych,"January 21, 1961",Odesa Oblast,Zhytomyr Oblast,Major,Battalion 2,"https://example2.com, https://example1.com, https://example6.com, https://example1.com, https://example3.com, https://example5.com"
4453,Serhiy Lysenko Romanovych,"September 21, 1969",Kyiv Oblast,Odesa Oblast,Captain,Recon Squad,"https://example4.com, https://example8.com, https://example9.com"
4454,Serhiy Bondarenko Mykhailovych,"April 23, 1993",Zhytomyr Oblast,Zhytomyr Oblast,Major,Battalion 2,"https://example4.com, https://example4.com, https://example4.com, https://example5.com, https://example6.com, https://example8.com, https://example10.com"
4455,Oleksandr Bibikov Vasyl'ovych,"February 10, 1971","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Lieutenant,Special Forces,"https://example10.com, https://example2.com, https://example4.com, https://example1.com, https://example10.com, https://example9.com"
4456,Oleh Kovalenko Oleksandrovych,"November 28, 1975","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Captain,Battalion 1,"https://example2.com, https://example2.com, https://example3.com"
4457,Volodymyr Shevchenko Mykhailovych,"March 31, 1960",Odesa Oblast,Lviv Oblast,Private,Special Forces,"https://example4.com, https://example1.com, https://example8.com, https://example10.com, https://example10.com"
4458,Yuriy Shevchenko Serhiyovych,"March 18, 1983","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kyiv Oblast,Lieutenant,Battalion 2,"https://example4.com, https://example2.com, https://example9.com, https://example2.com"
4459,Volodymyr Hrytsenko Volodymyrovych,"September 11, 1977",Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Infantry,"https://example8.com, https://example1.com, https://example2.com, https://example4.com"
